c,i0,p2h,gate,unt,arr_d,flujo04,untreated,treated,adult,child,mape_t5,mape_f8,max_err
2.400,2800,0.0070,0.013003,0.019185,123.82,2555.7,53.0,17.0,33.0,2.0,3.848,45.897,45.897
2.400,2800,0.0080,0.011787,0.017369,136.55,2867.6,52.0,16.0,33.0,2.0,1.791,39.238,39.238
2.400,2800,0.0085,0.011277,0.016609,142.77,3019.0,50.0,18.0,34.0,2.0,5.768,36.001,36.001
2.400,2800,0.0090,0.010819,0.015927,148.82,3167.4,52.0,17.0,32.0,2.0,4.114,32.824,32.824
2.400,2800,0.0095,0.010408,0.015317,154.73,3312.8,52.0,16.0,33.0,2.0,1.791,29.708,29.708
2.400,2800,0.0100,0.010031,0.014756,160.50,3455.4,52.0,17.0,32.0,2.0,4.114,26.650,26.650
2.400,2800,0.0110,0.009378,0.013786,171.68,3731.9,51.0,18.0,32.0,2.0,5.764,20.708,20.708
2.400,2800,0.0120,0.008826,0.012968,182.41,3997.2,51.0,17.0,32.0,2.0,4.192,14.992,14.992
2.400,2800,0.0130,0.008362,0.012279,192.55,4251.8,52.0,17.0,33.0,2.0,3.364,10.073,10.073
2.400,2800,0.0140,0.007956,0.011679,202.36,4495.9,50.0,18.0,34.0,2.0,5.768,9.062,9.062
2.400,2800,0.0150,0.007606,0.011161,211.68,4729.8,53.0,18.0,32.0,2.0,6.171,8.646,8.646
2.400,3000,0.0070,0.012363,0.018229,130.23,2712.8,52.0,18.0,34.0,2.0,5.206,42.697,42.697
2.400,3000,0.0080,0.011195,0.016487,143.82,3044.4,53.0,18.0,33.0,2.0,5.421,35.636,35.636
2.400,3000,0.0085,0.010707,0.015761,150.36,3205.3,52.0,17.0,32.0,2.0,4.114,32.203,32.203
2.400,3000,0.0090,0.010267,0.015106,156.82,3363.1,52.0,17.0,33.0,2.0,3.364,28.834,28.834
2.400,3000,0.0095,0.009877,0.014527,163.05,3517.8,50.0,17.0,33.0,2.0,3.926,25.527,25.527
2.400,3000,0.0100,0.009514,0.013987,169.23,3669.4,51.0,18.0,33.0,2.0,5.014,22.283,22.283
2.400,3000,0.0110,0.008893,0.013066,181.09,3963.5,52.0,17.0,32.0,2.0,4.114,15.977,15.977
2.400,3000,0.0120,0.008366,0.012285,192.45,4245.9,52.0,18.0,33.0,2.0,4.936,9.908,9.908
2.400,3000,0.0130,0.007919,0.011623,203.32,4516.9,50.0,18.0,34.0,2.0,5.768,8.836,8.836
2.400,3000,0.0140,0.007533,0.011053,213.73,4776.8,52.0,18.0,32.0,2.0,5.686,8.469,8.469
2.400,3000,0.0150,0.007198,0.010558,223.64,5026.0,52.0,18.0,33.0,2.0,4.936,10.044,10.044
2.400,3200,0.0070,0.011791,0.017375,136.55,2867.2,53.0,17.0,33.0,2.0,3.848,39.557,39.557
2.400,3200,0.0080,0.010665,0.015699,150.91,3218.1,52.0,17.0,33.0,2.0,3.364,32.101,32.101
2.400,3200,0.0085,0.010202,0.015009,157.82,3388.4,53.0,16.0,33.0,2.0,2.276,28.475,28.475
2.400,3200,0.0090,0.009782,0.014385,164.59,3555.5,51.0,18.0,34.0,2.0,5.284,24.916,24.916
2.400,3200,0.0095,0.009400,0.013819,171.27,3719.2,50.0,17.0,33.0,2.0,3.926,21.423,21.423
2.400,3200,0.0100,0.009057,0.013309,177.77,3879.7,53.0,17.0,31.0,2.0,5.349,17.995,17.995
2.400,3200,0.0110,0.008460,0.012424,190.32,4191.3,52.0,17.0,32.0,2.0,4.114,11.330,11.330
2.400,3200,0.0120,0.007954,0.011676,202.36,4490.5,49.0,19.0,35.0,2.0,8.576,8.742,8.742
2.400,3200,0.0130,0.007527,0.011044,213.91,4777.7,50.0,19.0,34.0,2.0,7.341,8.077,8.077
2.400,3200,0.0140,0.007160,0.010502,224.91,5053.3,52.0,17.0,33.0,2.0,3.364,9.740,9.740
2.400,3200,0.0150,0.006839,0.010028,235.41,5317.6,50.0,17.0,34.0,2.0,4.196,12.904,12.904
2.400,3400,0.0070,0.011284,0.016620,142.68,3019.0,51.0,17.0,33.0,2.0,3.441,36.474,36.474
2.400,3400,0.0080,0.010205,0.015013,157.77,3388.8,54.0,16.0,32.0,2.0,3.511,28.629,28.629
2.400,3400,0.0085,0.009750,0.014337,165.14,3568.4,52.0,17.0,31.0,2.0,4.864,24.814,24.814
2.400,3400,0.0090,0.009346,0.013738,172.27,3744.6,50.0,17.0,33.0,2.0,3.926,21.068,21.068
2.400,3400,0.0095,0.008978,0.013193,179.32,3917.3,52.0,16.0,32.0,2.0,2.542,17.391,17.391
2.400,3400,0.0100,0.008650,0.012706,186.14,4086.6,53.0,17.0,31.0,2.0,5.349,13.783,13.783
2.400,3400,0.0110,0.008074,0.011853,199.36,4415.3,51.0,18.0,33.0,2.0,5.014,8.787,8.787
2.400,3400,0.0120,0.007589,0.011137,212.14,4731.1,51.0,18.0,33.0,2.0,5.014,8.038,8.038
2.400,3400,0.0130,0.007180,0.010532,224.27,5034.4,52.0,17.0,32.0,1.0,16.019,9.183,16.019
2.400,3400,0.0140,0.006827,0.010011,235.82,5325.4,51.0,17.0,33.0,2.0,3.441,12.753,12.753
2.400,3400,0.0150,0.006521,0.009558,246.95,5604.6,52.0,18.0,32.0,2.0,5.686,18.770,18.770
2.400,3600,0.0070,0.010822,0.015932,148.77,3168.1,52.0,18.0,33.0,2.0,4.936,33.444,33.444
2.400,3600,0.0080,0.009782,0.014385,164.59,3556.7,51.0,17.0,33.0,2.0,3.441,25.217,25.217
2.400,3600,0.0085,0.009346,0.013738,172.32,3745.4,51.0,16.0,33.0,2.0,1.869,21.215,21.215
2.400,3600,0.0090,0.008956,0.013160,179.77,3930.5,51.0,17.0,32.0,2.0,4.192,17.286,17.286
2.400,3600,0.0095,0.008601,0.012634,187.18,4112.1,50.0,16.0,32.0,2.0,3.104,13.428,13.428
2.400,3600,0.0100,0.008282,0.012161,194.41,4290.1,51.0,17.0,34.0,2.0,3.711,10.467,10.467
2.400,3600,0.0110,0.007729,0.011342,208.32,4635.8,53.0,18.0,32.0,2.0,6.171,8.141,8.141
2.400,3600,0.0120,0.007263,0.010654,221.68,4967.9,54.0,18.0,33.0,2.0,5.905,8.376,8.376
2.400,3600,0.0130,0.006868,0.010071,234.36,5286.9,52.0,18.0,32.0,2.0,5.686,11.646,11.646
2.400,3600,0.0140,0.006527,0.009567,246.68,5593.2,53.0,19.0,33.0,2.0,6.993,18.219,18.219
2.400,3600,0.0150,0.006234,0.009135,258.32,5887.1,50.0,18.0,33.0,2.0,5.498,24.541,24.541
2.400,3800,0.0070,0.010405,0.015312,154.73,3314.7,54.0,16.0,32.0,2.0,3.511,30.465,30.465
2.400,3800,0.0080,0.009398,0.013815,171.32,3721.7,51.0,17.0,32.0,2.0,4.192,21.862,21.862
2.400,3800,0.0085,0.008976,0.013190,179.32,3919.5,52.0,17.0,33.0,2.0,3.364,17.677,17.677
2.400,3800,0.0090,0.008599,0.012631,187.23,4113.5,53.0,17.0,31.0,2.0,5.349,13.566,13.566
2.400,3800,0.0095,0.008260,0.012129,194.91,4303.7,53.0,17.0,32.0,2.0,4.599,10.737,10.737
2.400,3800,0.0100,0.007951,0.011671,202.50,4490.3,50.0,18.0,35.0,2.0,6.519,8.574,8.574
