staff,auto,gate,unt,p_child,arr_d,untreated,treated,adult,child,mape_t5,mape_f8,desv_unt,desv_tre,desv_ad,desv_ch
0,false,0.007471,0.010982,0.0500,198.05,48.00,15.00,30.00,2.00,6.832,8.73,-6.94,-5.66,-9.96,-4.76
0,false,0.007471,0.011628,0.0500,198.05,50.00,15.00,30.00,2.00,5.862,8.73,-3.06,-5.66,-9.96,-4.76
0,false,0.007471,0.012274,0.0500,198.05,53.00,15.00,30.00,2.00,5.785,8.73,2.75,-5.66,-9.96,-4.76
0,false,0.007471,0.012920,0.0500,198.05,56.00,15.00,30.00,2.00,7.239,8.73,8.57,-5.66,-9.96,-4.76
0,false,0.007471,0.013566,0.0500,198.05,59.00,15.00,30.00,2.00,8.693,8.73,14.39,-5.66,-9.96,-4.76
0,false,0.007471,0.014212,0.0500,198.05,61.00,15.00,30.00,2.00,9.662,8.73,18.26,-5.66,-9.96,-4.76
0,false,0.007911,0.010982,0.0500,198.05,47.00,16.00,32.00,2.00,4.558,8.73,-8.88,0.63,-3.96,-4.76
0,false,0.007911,0.011628,0.0500,198.05,50.00,16.00,32.00,2.00,3.104,8.73,-3.06,0.63,-3.96,-4.76
0,false,0.007911,0.012274,0.0500,198.05,53.00,16.00,32.00,2.00,3.026,8.73,2.75,0.63,-3.96,-4.76
0,false,0.007911,0.012920,0.0500,198.05,56.00,16.00,32.00,2.00,4.480,8.73,8.57,0.63,-3.96,-4.76
0,false,0.007911,0.013566,0.0500,198.05,58.00,16.00,32.00,2.00,5.450,8.73,12.45,0.63,-3.96,-4.76
0,false,0.007911,0.014212,0.0500,198.05,61.00,16.00,32.00,2.00,6.904,8.73,18.26,0.63,-3.96,-4.76
0,false,0.008350,0.010982,0.0500,198.05,48.00,17.00,34.00,2.00,5.165,8.73,-6.94,6.92,2.04,-4.76
0,false,0.008350,0.011628,0.0500,198.05,51.00,17.00,34.00,2.00,3.711,8.73,-1.12,6.92,2.04,-4.76
0,false,0.008350,0.012274,0.0500,198.05,54.00,17.00,34.00,2.00,4.603,8.73,4.69,6.92,2.04,-4.76
0,false,0.008350,0.012920,0.0500,198.05,57.00,17.00,34.00,2.00,6.057,8.73,10.51,6.92,2.04,-4.76
0,false,0.008350,0.013566,0.0500,198.05,60.00,17.00,34.00,2.00,7.511,8.73,16.32,6.92,2.04,-4.76
0,false,0.008350,0.014212,0.0500,198.05,62.00,17.00,34.00,2.00,8.481,8.73,20.20,6.92,2.04,-4.76
0,false,0.008790,0.010982,0.0500,198.05,48.00,18.00,35.00,2.00,7.488,8.73,-6.94,13.21,5.04,-4.76
0,false,0.008790,0.011628,0.0500,198.05,51.00,18.00,35.00,2.00,6.034,8.73,-1.12,13.21,5.04,-4.76
0,false,0.008790,0.012274,0.0500,198.05,54.00,18.00,35.00,2.00,6.926,8.73,4.69,13.21,5.04,-4.76
0,false,0.008790,0.012920,0.0500,198.05,57.00,18.00,35.00,2.00,8.380,8.73,10.51,13.21,5.04,-4.76
0,false,0.008790,0.013566,0.0500,198.05,60.00,18.00,35.00,2.00,9.834,8.73,16.32,13.21,5.04,-4.76
