day,pTransmit,flujoHospital,untreated
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,1
10,0.0400,504.30,1
11,0.0400,584.75,1
12,0.0400,672.68,1
13,0.0400,768.71,3
14,0.0400,873.51,3
15,0.0400,987.77,4
16,0.0400,1112.22,6
17,0.0400,1247.65,6
18,0.0400,1394.84,11
19,0.0400,1554.64,15
20,0.0400,1727.90,17
21,0.0400,1915.49,19
22,0.0400,2118.31,25
23,0.0400,2337.25,28
24,0.0400,2573.20,30
25,0.0400,2827.04,32
26,0.0400,3099.62,34
27,0.0400,3391.76,38
28,0.0400,3704.23,39
29,0.0400,4037.73,40
30,0.0400,4392.90,43
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,0
10,0.0400,504.30,0
11,0.0400,584.75,0
12,0.0400,672.68,1
13,0.0400,768.71,2
14,0.0400,873.51,4
15,0.0400,987.77,5
16,0.0400,1112.22,6
17,0.0400,1247.65,9
18,0.0400,1394.84,11
19,0.0400,1554.64,14
20,0.0400,1727.90,17
21,0.0400,1915.49,21
22,0.0400,2118.31,22
23,0.0400,2337.25,26
24,0.0400,2573.20,29
25,0.0400,2827.04,35
26,0.0400,3099.62,42
27,0.0400,3391.76,46
28,0.0400,3704.22,49
29,0.0400,4037.73,55
30,0.0400,4392.90,61
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,1
10,0.0400,504.30,1
11,0.0400,584.75,2
12,0.0400,672.68,3
13,0.0400,768.71,4
14,0.0400,873.51,5
15,0.0400,987.77,5
16,0.0400,1112.22,7
17,0.0400,1247.65,8
18,0.0400,1394.84,11
19,0.0400,1554.64,14
20,0.0400,1727.90,15
21,0.0400,1915.49,18
22,0.0400,2118.31,21
23,0.0400,2337.25,27
24,0.0400,2573.20,31
25,0.0400,2827.04,34
26,0.0400,3099.62,38
27,0.0400,3391.76,42
28,0.0400,3704.23,46
29,0.0400,4037.73,53
30,0.0400,4392.91,57
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,1
10,0.0400,504.30,1
11,0.0400,584.75,3
12,0.0400,672.68,3
13,0.0400,768.71,5
14,0.0400,873.51,8
15,0.0400,987.77,8
16,0.0400,1112.22,9
17,0.0400,1247.65,11
18,0.0400,1394.84,14
19,0.0400,1554.64,16
20,0.0400,1727.90,18
21,0.0400,1915.49,19
22,0.0400,2118.31,20
23,0.0400,2337.25,22
24,0.0400,2573.20,24
25,0.0400,2827.04,28
26,0.0400,3099.62,34
27,0.0400,3391.76,37
28,0.0400,3704.23,41
29,0.0400,4037.73,45
30,0.0400,4392.91,48
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,1
10,0.0400,504.30,2
11,0.0400,584.75,3
12,0.0400,672.68,3
13,0.0400,768.71,4
14,0.0400,873.51,6
15,0.0400,987.77,6
16,0.0400,1112.22,11
17,0.0400,1247.65,13
18,0.0400,1394.84,16
19,0.0400,1554.64,17
20,0.0400,1727.90,23
21,0.0400,1915.49,26
22,0.0400,2118.31,29
23,0.0400,2337.25,34
24,0.0400,2573.20,34
25,0.0400,2827.04,39
26,0.0400,3099.62,42
27,0.0400,3391.76,48
28,0.0400,3704.23,53
29,0.0400,4037.73,57
30,0.0400,4392.90,62
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,1
10,0.0400,504.30,1
11,0.0400,584.75,3
12,0.0400,672.68,3
13,0.0400,768.71,3
14,0.0400,873.51,3
15,0.0400,987.77,5
16,0.0400,1112.22,7
17,0.0400,1247.65,11
18,0.0400,1394.84,14
19,0.0400,1554.64,17
20,0.0400,1727.90,19
21,0.0400,1915.49,22
22,0.0400,2118.31,23
23,0.0400,2337.25,26
24,0.0400,2573.20,27
25,0.0400,2827.04,31
26,0.0400,3099.62,34
27,0.0400,3391.76,37
28,0.0400,3704.23,43
29,0.0400,4037.73,49
30,0.0400,4392.90,52
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,0
10,0.0400,504.30,4
11,0.0400,584.75,4
12,0.0400,672.68,6
13,0.0400,768.71,6
14,0.0400,873.51,8
15,0.0400,987.77,12
16,0.0400,1112.22,14
17,0.0400,1247.65,17
18,0.0400,1394.84,18
19,0.0400,1554.64,22
20,0.0400,1727.90,25
21,0.0400,1915.49,29
22,0.0400,2118.31,31
23,0.0400,2337.25,33
24,0.0400,2573.20,34
25,0.0400,2827.04,37
26,0.0400,3099.62,37
27,0.0400,3391.76,45
28,0.0400,3704.23,48
29,0.0400,4037.73,55
30,0.0400,4392.91,60
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,0
10,0.0400,504.30,0
11,0.0400,584.75,1
12,0.0400,672.68,2
13,0.0400,768.71,4
14,0.0400,873.51,5
15,0.0400,987.77,9
16,0.0400,1112.22,11
17,0.0400,1247.65,11
18,0.0400,1394.84,13
19,0.0400,1554.64,17
20,0.0400,1727.90,18
21,0.0400,1915.49,21
22,0.0400,2118.31,22
23,0.0400,2337.25,26
24,0.0400,2573.20,29
25,0.0400,2827.03,31
26,0.0400,3099.61,35
27,0.0400,3391.75,37
28,0.0400,3704.22,43
29,0.0400,4037.73,45
30,0.0400,4392.90,50
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,1
10,0.0400,504.30,1
11,0.0400,584.75,1
12,0.0400,672.68,1
13,0.0400,768.71,2
14,0.0400,873.51,3
15,0.0400,987.77,4
16,0.0400,1112.22,5
17,0.0400,1247.65,6
18,0.0400,1394.84,9
19,0.0400,1554.64,15
20,0.0400,1727.90,20
21,0.0400,1915.49,23
22,0.0400,2118.31,25
23,0.0400,2337.25,27
24,0.0400,2573.20,27
25,0.0400,2827.04,30
26,0.0400,3099.62,34
27,0.0400,3391.76,37
28,0.0400,3704.23,39
29,0.0400,4037.73,46
30,0.0400,4392.91,52
0,0.0400,0.00,0
1,0.0400,32.08,0
2,0.0400,67.32,0
3,0.0400,106.01,0
4,0.0400,148.47,0
5,0.0400,195.06,0
6,0.0400,246.16,0
7,0.0400,302.17,0
8,0.0400,363.54,0
9,0.0400,430.75,2
10,0.0400,504.30,2
11,0.0400,584.75,4
12,0.0400,672.68,5
13,0.0400,768.71,7
14,0.0400,873.51,8
15,0.0400,987.77,10
16,0.0400,1112.22,10
17,0.0400,1247.65,11
18,0.0400,1394.84,14
