run_id,pTransmit,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784904968329,0.04,4854,41,58,14,39,2,14,4755,1,0.0112,4920,59263.55,58999.17
1784904968427,0.04,4928,40,52,15,37,3,15,4836,2,0.0225,4920,59263.65,58999.08
1784904968512,0.04,4874,41,47,12,37,4,12,4786,5,0.0337,4920,59263.56,58999.16
1784904968598,0.04,4867,42,47,23,37,4,23,4778,4,0.0562,4920,59263.64,58999.09
1784904968672,0.04,4918,27,56,10,27,0,10,4835,1,0.0,4920,59263.65,58999.08
1784904968748,0.04,4951,33,60,13,32,1,13,4858,1,0.0112,4920,59263.61,58999.12
1784904968811,0.04,4945,33,60,19,29,4,19,4852,3,0.0337,4920,59263.64,58999.1
1784904968872,0.04,4920,35,47,14,31,4,14,4838,1,0.0112,4920,59263.63,58999.1
1784904968929,0.04,4885,32,47,14,31,1,14,4806,5,0.0,4920,59263.6,58999.12
1784904969004,0.04,4877,40,46,20,34,6,20,4791,4,0.0,4920,59263.58,58999.14
1784904969067,0.04,4904,37,57,16,35,2,16,4810,1,0.0112,4920,59263.61,58999.12
1784904969122,0.04,4973,28,51,18,26,2,18,4894,2,0.0,4920,59263.58,58999.14
1784904969174,0.04,4924,34,48,17,30,4,17,4842,4,0.0,4920,59263.58,58999.14
1784904969222,0.04,4907,38,63,18,35,3,18,4806,3,0.0337,4920,59263.63,58999.1
1784904969264,0.04,4885,34,44,16,30,4,16,4807,1,0.0225,4920,59263.6,58999.12
1784904969303,0.04,4915,34,56,12,32,2,12,4825,2,0.0337,4920,59263.54,58999.18
1784904969349,0.04,4920,36,48,17,36,0,17,4836,4,0.0,4920,59263.62,58999.11
1784904969394,0.04,4887,34,58,11,33,1,11,4795,2,0.0,4920,59263.56,58999.16
1784904969429,0.04,4891,24,50,11,23,1,11,4817,5,0.0225,4920,59263.57,58999.15
1784904969470,0.04,4928,42,49,14,40,2,14,4837,2,0.0225,4920,59263.5,58999.21
1784904969515,0.04,4933,31,36,16,29,2,16,4866,5,0.0,4920,59263.62,58999.11
1784904969557,0.04,4876,31,62,15,31,0,15,4783,2,0.0112,4920,59263.56,58999.16
1784904969605,0.04,4898,43,47,26,42,1,26,4808,4,0.0112,4920,59263.65,58999.08
1784904969646,0.04,4885,37,39,17,35,2,17,4809,4,0.0225,4920,59263.65,58999.08
1784904969690,0.04,4861,39,46,15,35,4,15,4776,6,0.0,4920,59263.71,58999.03
1784904969731,0.04,4912,30,47,18,29,1,18,4835,4,0.0,4920,59263.61,58999.12
1784904969767,0.04,4882,36,50,23,29,7,23,4796,1,0.0112,4920,59263.68,58999.06
1784904969807,0.04,4914,42,47,21,38,4,21,4825,2,0.0112,4920,59263.53,58999.19
1784904969846,0.04,4913,45,67,22,38,7,22,4801,8,0.0112,4920,59263.62,58999.11
1784904969878,0.04,4874,33,50,12,32,1,12,4791,2,0.0,4920,59263.54,58999.18
1784904969913,0.04,4894,25,57,15,25,0,15,4812,4,0.0112,4920,59263.6,58999.12
1784904969949,0.04,4904,38,48,15,36,2,15,4818,3,0.0112,4920,59263.64,58999.09
1784904969982,0.04,4882,32,49,10,29,3,10,4801,1,0.0337,4920,59263.64,58999.09
1784904970017,0.04,4970,31,37,12,31,0,12,4902,2,0.0,4920,59263.56,58999.16
1784904970055,0.04,4919,37,50,16,36,1,16,4832,2,0.0337,4920,59263.66,58999.08
1784904970090,0.04,4894,42,56,17,37,5,17,4796,3,0.0225,4920,59263.53,58999.18
1784904970126,0.04,4866,31,54,20,29,2,20,4781,2,0.0112,4920,59263.53,58999.19
1784904970164,0.04,4890,25,56,15,24,1,15,4809,2,0.0,4920,59263.56,58999.16
1784904970198,0.04,4915,43,43,22,41,1,22,4829,1,0.0225,4920,59263.56,58999.16
1784904970230,0.04,4840,39,42,19,38,1,19,4759,2,0.0225,4920,59263.57,58999.15
1784904970265,0.04,4892,30,48,12,29,1,12,4814,5,0.0,4920,59263.67,58999.07
1784904970297,0.04,4907,42,53,19,40,2,19,4812,4,0.0449,4920,59263.52,58999.2
