run_id,pTransmit,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784779504650,0.0400,4083,42,53,18,41,1,18,3988,3,0.0112,4393,78099.15,40689.95
1784779504801,0.0400,4076,43,54,15,36,7,15,3979,3,0.0337,4393,78099.19,40689.91
1784779504938,0.0400,4078,33,64,14,32,1,14,3981,2,0.0112,4393,78099.16,40689.94
1784779505054,0.0400,4084,39,48,15,37,2,15,3997,6,0.0000,4393,78099.15,40689.95
1784779505164,0.0400,4063,34,58,16,34,0,16,3971,0,0.0112,4393,78099.14,40689.95
1784779505275,0.0400,4078,28,58,12,26,2,12,3992,2,0.0000,4393,78099.13,40689.96
1784779505362,0.0400,4077,44,42,15,41,3,15,3991,5,0.0225,4393,78099.14,40689.95
1784779505470,0.0400,4075,31,65,17,28,3,17,3979,2,0.0225,4393,78099.15,40689.94
1784779505534,0.0400,4077,36,52,10,36,0,10,3989,5,0.0000,4393,78099.14,40689.95
1784779505613,0.0400,4083,39,59,20,38,1,20,3985,2,0.0225,4393,78099.14,40689.96
1784779505691,0.0400,4080,28,61,14,25,3,14,3991,4,0.0000,4393,78099.13,40689.96
1784779505774,0.0400,4077,27,46,12,23,4,12,4004,0,0.0112,4393,78099.15,40689.94
1784779505833,0.0400,4089,43,51,19,40,3,19,3995,4,0.0000,4393,78099.14,40689.96
1784779505901,0.0400,4077,42,46,21,41,1,21,3989,0,0.0225,4393,78099.18,40689.92
1784779505970,0.0400,4088,29,66,19,26,3,19,3993,6,0.0000,4393,78099.13,40689.96
1784779506020,0.0400,4073,30,58,10,29,1,10,3985,1,0.0112,4393,78099.19,40689.91
1784779506062,0.0400,4089,41,52,15,38,3,15,3996,4,0.0449,4393,78099.14,40689.96
1784779506107,0.0400,4080,30,54,13,30,0,13,3996,3,0.0225,4393,78099.17,40689.93
1784779506154,0.0400,4090,36,51,15,34,2,15,4003,5,0.0112,4393,78099.13,40689.96
1784779506194,0.0400,4081,46,57,8,44,2,8,3978,2,0.0000,4393,78099.16,40689.94
1784779506261,0.0400,4091,38,55,10,37,1,10,3998,3,0.0112,4393,78099.16,40689.94
1784779506316,0.0400,4069,28,62,13,28,0,13,3979,2,0.0000,4393,78099.14,40689.95
1784779506358,0.0400,4076,38,45,14,38,0,14,3993,4,0.0112,4393,78099.17,40689.93
1784779506414,0.0400,4083,42,44,17,39,3,17,3997,7,0.0112,4393,78099.17,40689.93
1784779506462,0.0400,4083,30,38,19,27,3,19,4015,3,0.0225,4393,78099.16,40689.94
1784779506515,0.0400,4083,33,58,12,31,2,12,3992,1,0.0112,4393,78099.14,40689.95
1784779506555,0.0400,4076,32,59,11,31,1,11,3985,2,0.0337,4393,78099.16,40689.94
1784779506599,0.0400,4097,34,50,14,28,6,14,4013,3,0.0112,4393,78099.18,40689.92
1784779506643,0.0400,4085,36,41,17,33,3,17,4008,7,0.0337,4393,78099.17,40689.93
1784779506695,0.0400,4083,35,58,14,34,1,14,3990,1,0.0225,4393,78099.15,40689.94
1784779506732,0.0400,4082,42,53,17,40,2,17,3987,3,0.0337,4393,78099.19,40689.91
1784779506765,0.0400,4085,24,60,10,23,1,10,4001,4,0.0337,4393,78099.13,40689.96
1784779506797,0.0400,4087,33,50,15,31,2,15,4004,4,0.0112,4393,78099.15,40689.95
1784779506837,0.0400,4091,34,52,14,32,2,14,4005,5,0.0112,4393,78099.13,40689.96
1784779506877,0.0400,4085,36,53,13,33,3,13,3996,1,0.0337,4393,78099.20,40689.90
1784779506930,0.0400,4085,39,49,20,38,1,20,3997,3,0.0225,4393,78099.13,40689.96
1784779506984,0.0400,4096,32,53,16,28,4,16,4011,4,0.0112,4393,78099.19,40689.91
1784779507041,0.0400,4079,34,50,15,33,1,15,3995,2,0.0112,4393,78099.16,40689.94
1784779507095,0.0400,4079,31,43,8,30,1,8,4005,6,0.0225,4393,78099.14,40689.95
1784779507136,0.0400,4086,38,48,18,35,3,18,4000,3,0.0112,4393,78099.18,40689.92
1784779507175,0.0400,4082,27,52,13,27,0,13,4003,5,0.0112,4393,78099.16,40689.93
1784779507222,0.0400,4090,44,41,27,41,3,27,4005,2,0.0449,4393,78099.17,40689.93
1784779507279,0.0400,4080,36,47,11,35,1,11,3997,2,0.0225,4393,78099.16,40689.94
1784779507327,0.0400,4082,40,43,22,38,2,22,3999,2,0.0000,4393,78099.16,40689.94
1784779507371,0.0400,4090,33,54,13,30,3,13,4003,5,0.0112,4393,78099.13,40689.96
1784779507415,0.0400,4083,44,52,22,38,6,22,3987,4,0.0225,4393,78099.16,40689.94
1784779507453,0.0400,4081,31,65,16,29,2,16,3985,4,0.0225,4393,78099.19,40689.91
1784779507488,0.0400,4089,32,53,15,28,4,15,4004,2,0.0000,4393,78099.17,40689.93
1784779507526,0.0400,4075,35,55,21,30,5,21,3985,3,0.0112,4393,78099.14,40689.95
1784779507557,0.0400,4079,44,53,19,43,1,19,3982,4,0.0225,4393,78099.13,40689.96
1784779507591,0.0400,4078,43,44,18,41,2,18,3991,4,0.0674,4393,78099.15,40689.95
1784779507627,0.0400,4075,37,63,18,37,0,18,3975,1,0.0000,4393,78099.15,40689.95
1784779507667,0.0400,4081,37,51,17,35,2,17,3993,1,0.0225,4393,78099.15,40689.95
1784779507715,0.0400,4087,33,48,18,30,3,18,4006,2,0.0225,4393,78099.13,40689.96
1784779507763,0.0400,4094,36,57,16,34,2,16,4001,5,0.0225,4393,78099.19,40689.91
1784779507799,0.0400,4076,39,52,15,34,5,15,3985,3,0.0000,4393,78099.15,40689.94
1784779507839,0.0400,4074,32,57,13,30,2,13,3985,4,0.0112,4393,78099.15,40689.95
1784779507874,0.0400,4083,33,58,18,32,1,18,3992,6,0.0225,4393,78099.15,40689.95
1784779507919,0.0400,4083,35,61,13,35,0,13,3987,3,0.0112,4393,78099.13,40689.96
1784779507953,0.0400,4077,38,61,15,34,4,15,3978,3,0.0000,4393,78099.16,40689.94
1784779507982,0.0400,4084,42,50,14,39,3,14,3992,1,0.0225,4393,78099.15,40689.94
1784779508028,0.0400,4080,39,51,17,35,4,17,3990,3,0.0112,4393,78099.15,40689.94
1784779508066,0.0400,4086,46,44,17,39,7,17,3996,8,0.0112,4393,78099.17,40689.92
1784779508100,0.0400,4071,44,62,18,42,2,18,3965,2,0.0112,4393,78099.18,40689.92
1784779508138,0.0400,4074,30,53,14,30,0,14,3991,0,0.0225,4393,78099.16,40689.94
1784779508173,0.0400,4079,35,47,15,34,1,15,3997,4,0.0337,4393,78099.19,40689.91
1784779508208,0.0400,4069,40,64,11,37,3,11,3965,3,0.0225,4393,78099.14,40689.95
1784779508246,0.0400,4066,32,55,13,28,4,13,3979,3,0.0112,4393,78099.18,40689.92
1784779508281,0.0400,4082,39,55,20,36,3,20,3988,6,0.0449,4393,78099.14,40689.95
1784779508310,0.0400,4093,30,44,8,29,1,8,4019,3,0.0000,4393,78099.15,40689.95
1784779508343,0.0400,4084,40,61,14,38,2,14,3983,3,0.0000,4393,78099.16,40689.93
1784779508374,0.0400,4071,32,69,14,31,1,14,3970,2,0.0000,4393,78099.18,40689.92
1784779508404,0.0400,4069,30,64,7,28,2,7,3975,2,0.0112,4393,78099.20,40689.91
1784779508443,0.0400,4070,36,64,12,35,1,12,3970,6,0.0112,4393,78099.13,40689.96
1784779508473,0.0400,4071,43,44,18,43,0,18,3984,2,0.0337,4393,78099.14,40689.96
1784779508508,0.0400,4074,26,35,11,25,1,11,4013,3,0.0112,4393,78099.15,40689.94
1784779508546,0.0400,4076,41,48,13,39,2,13,3987,1,0.0337,4393,78099.16,40689.93
1784779508576,0.0400,4077,40,47,21,35,5,21,3990,5,0.0000,4393,78099.18,40689.92
1784779508606,0.0400,4081,41,60,8,39,2,8,3980,3,0.0225,4393,78099.16,40689.94
1784779508636,0.0400,4097,46,50,18,43,3,18,4001,4,0.0562,4393,78099.21,40689.89
