run_id,pTransmit,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784776880787,0.0400,0,0,0,0,0,0,0,0,0,0.0000,0,119782.00,3400.00
1784777551908,0.0400,4081,49,40,20,44,5,20,3992,2,0.0112,4393,78099.15,40689.94
1784777563747,0.0400,4068,32,51,13,29,3,13,3985,3,0.0337,4393,78099.13,40689.96
1784777563875,0.0400,4082,34,47,14,29,5,14,4001,2,0.0000,4393,78099.16,40689.94
1784777563977,0.0400,4090,27,48,9,26,0,9,4015,4,0.0337,4393,78099.15,40689.95
1784777564049,0.0400,4093,32,57,13,30,2,13,4004,3,0.0225,4393,78099.21,40689.90
1784777564143,0.0400,4072,37,59,14,37,0,14,3976,2,0.0112,4393,78099.20,40689.90
1784777564231,0.0400,4081,34,58,10,32,2,10,3989,2,0.0000,4393,78099.20,40689.90
1784777564310,0.0400,4081,43,59,20,40,3,20,3979,1,0.0337,4393,78099.15,40689.95
1784777564381,0.0400,4072,51,44,14,49,2,14,3977,2,0.0337,4393,78099.16,40689.94
1784777564440,0.0400,4086,34,48,10,32,2,10,4004,4,0.0337,4393,78099.22,40689.89
1784777564502,0.0400,4078,38,54,18,34,4,18,3986,4,0.0112,4393,78099.19,40689.91
1784777564569,0.0400,4070,36,45,13,32,4,13,3989,1,0.0112,4393,78099.15,40689.95
1784777564639,0.0400,4080,35,56,10,33,2,10,3989,2,0.0225,4393,78099.16,40689.94
1784777564702,0.0400,4100,42,51,17,38,4,17,4007,2,0.0449,4393,78099.14,40689.95
1784777564746,0.0400,4082,39,54,12,38,1,12,3989,3,0.0000,4393,78099.16,40689.93
1784777564799,0.0400,4080,30,55,11,28,2,11,3995,1,0.0112,4393,78099.13,40689.96
1784777564841,0.0400,4091,34,56,7,34,0,7,4001,3,0.0000,4393,78099.14,40689.95
1784777564881,0.0400,4087,39,51,14,36,3,14,3997,3,0.0112,4393,78099.20,40689.90
1784777564930,0.0400,4069,20,49,10,17,3,10,4000,4,0.0000,4393,78099.14,40689.95
1784777564972,0.0400,4090,38,58,14,33,5,14,3994,5,0.0337,4393,78099.15,40689.94
1784777565013,0.0400,4080,33,41,16,30,3,16,4006,4,0.0000,4393,78099.14,40689.96
1784777634296,0.0200,1586,15,12,10,15,0,10,1559,2,0.0000,1826,109700.48,11656.11
1784777634409,0.0300,2568,29,21,11,28,1,11,2518,2,0.0225,2850,97413.01,22919.82
1784777634527,0.0400,4081,49,40,20,44,5,20,3992,2,0.0112,4393,78099.15,40689.94
1784777634642,0.0500,6115,68,64,28,61,7,28,5983,2,0.0337,6460,54196.16,62525.90
1784777634789,0.0600,8426,84,92,32,76,8,32,8250,2,0.0225,8834,32167.55,82180.58
1784778105159,0.0400,4072,31,54,17,31,0,17,3987,3,0.0225,4393,78099.16,40689.94
1784778105306,0.0400,4070,39,57,18,37,2,18,3974,2,0.0112,4393,78099.13,40689.96
1784778105484,0.0400,4074,35,51,14,34,1,14,3988,1,0.0225,4393,78099.13,40689.96
1784778105623,0.0400,4087,38,37,18,33,5,18,4012,1,0.0112,4393,78099.15,40689.95
1784778105738,0.0400,4092,47,57,18,45,2,18,3988,2,0.0000,4393,78099.14,40689.96
1784778105840,0.0400,4095,25,54,7,24,1,7,4016,4,0.0225,4393,78099.18,40689.92
1784778105926,0.0400,4092,37,44,14,35,2,14,4011,8,0.0000,4393,78099.14,40689.95
1784778106017,0.0400,4087,47,46,20,46,1,20,3994,6,0.0112,4393,78099.15,40689.95
1784778106086,0.0400,4098,34,60,16,33,1,16,4004,3,0.0000,4393,78099.15,40689.94
1784778106163,0.0400,4093,38,67,13,37,1,13,3988,2,0.0112,4393,78099.14,40689.96
1784778106238,0.0400,4085,37,48,10,33,4,10,4000,2,0.0112,4393,78099.17,40689.93
1784778106303,0.0400,4079,42,46,23,40,2,23,3991,2,0.0112,4393,78099.18,40689.92
1784778106355,0.0400,4079,46,54,19,40,6,19,3979,2,0.0225,4393,78099.19,40689.91
1784778106400,0.0400,4081,28,60,10,25,3,10,3993,2,0.0112,4393,78099.15,40689.95
1784778106462,0.0400,4087,43,52,17,40,3,17,3992,1,0.0337,4393,78099.14,40689.96
1784778106516,0.0400,4087,30,47,10,29,1,10,4010,5,0.0112,4393,78099.20,40689.90
1784778106567,0.0400,4078,40,49,17,36,4,17,3989,2,0.0000,4393,78099.18,40689.92
1784778106605,0.0400,4083,27,60,10,26,1,10,3996,4,0.0000,4393,78099.17,40689.93
1784778106643,0.0400,4090,39,55,12,37,2,12,3996,5,0.0112,4393,78099.16,40689.94
1784778106684,0.0400,4084,29,58,13,27,2,13,3997,4,0.0000,4393,78099.14,40689.95
1784778113761,0.0200,1586,15,12,10,15,0,10,1559,2,0.0000,1826,109700.48,11656.11
1784778113880,0.0300,2568,29,21,11,28,1,11,2518,2,0.0225,2850,97413.01,22919.82
1784778113999,0.0400,4081,49,40,20,44,5,20,3992,2,0.0112,4393,78099.15,40689.94
1784778114117,0.0500,6115,68,64,28,61,7,28,5983,2,0.0337,6460,54196.16,62525.90
1784778114262,0.0600,8426,84,92,32,76,8,32,8250,2,0.0225,8834,32167.55,82180.58
