day,pTransmit,flujoHospital,untreated
0,0.0400,0.00,0
1,0.0400,66.60,0
0,0.0200,0.00,0
1,0.0200,65.94,0
2,0.0200,130.56,0
3,0.0200,193.91,0
4,0.0200,255.99,0
5,0.0200,316.84,0
6,0.0200,376.48,0
7,0.0200,434.94,0
8,0.0200,492.24,0
9,0.0200,548.39,1
10,0.0200,603.44,3
11,0.0200,657.39,4
12,0.0200,710.26,4
13,0.0200,762.09,5
14,0.0200,812.89,6
15,0.0200,862.68,8
16,0.0200,911.49,10
17,0.0200,959.32,11
18,0.0200,1006.20,12
19,0.0200,1052.16,16
20,0.0200,1097.20,18
21,0.0200,1141.34,21
22,0.0200,1184.61,22
23,0.0200,1227.03,24
24,0.0200,1268.60,27
25,0.0200,1309.34,28
26,0.0200,1349.28,29
27,0.0200,1388.42,31
28,0.0200,1426.79,34
29,0.0200,1464.40,38
30,0.0200,1501.26,39
0,0.0300,0.00,0
1,0.0300,66.26,0
2,0.0300,131.86,0
3,0.0300,196.80,0
4,0.0300,261.09,0
5,0.0300,324.73,0
6,0.0300,387.73,0
7,0.0300,450.10,0
8,0.0300,511.84,0
9,0.0300,572.96,3
10,0.0300,633.46,4
11,0.0300,693.36,5
12,0.0300,752.66,6
13,0.0300,811.36,7
14,0.0300,869.47,7
15,0.0300,927.00,8
16,0.0300,983.95,9
17,0.0300,1040.33,9
18,0.0300,1096.14,13
19,0.0300,1151.39,15
20,0.0300,1206.09,18
21,0.0300,1260.24,20
22,0.0300,1313.84,22
23,0.0300,1366.91,25
24,0.0300,1419.44,27
25,0.0300,1471.45,31
26,0.0300,1522.93,35
27,0.0300,1573.90,37
28,0.0300,1624.36,37
29,0.0300,1674.31,40
30,0.0300,1723.76,42
0,0.0400,0.00,0
1,0.0400,66.60,0
2,0.0400,133.18,0
3,0.0400,199.76,0
4,0.0400,266.32,0
5,0.0400,332.88,0
6,0.0400,399.43,0
7,0.0400,465.97,0
8,0.0400,532.50,0
9,0.0400,599.01,2
10,0.0400,665.52,7
11,0.0400,732.02,8
12,0.0400,798.52,10
13,0.0400,865.00,10
14,0.0400,931.47,11
15,0.0400,997.93,13
16,0.0400,1064.38,14
17,0.0400,1130.83,19
18,0.0400,1197.26,21
19,0.0400,1263.68,22
20,0.0400,1330.10,25
21,0.0400,1396.50,29
22,0.0400,1462.90,33
23,0.0400,1529.29,37
24,0.0400,1595.66,40
25,0.0400,1662.03,43
26,0.0400,1728.39,44
27,0.0400,1794.74,48
28,0.0400,1861.08,49
29,0.0400,1927.40,50
30,0.0400,1993.72,57
0,0.0500,0.00,0
1,0.0500,66.93,0
2,0.0500,134.52,0
3,0.0500,202.77,0
4,0.0500,271.70,0
5,0.0500,341.31,0
6,0.0500,411.60,0
7,0.0500,482.59,0
8,0.0500,554.28,0
9,0.0500,626.67,3
10,0.0500,699.78,6
11,0.0500,773.60,7
12,0.0500,848.16,7
13,0.0500,923.45,11
14,0.0500,999.48,14
15,0.0500,1076.26,14
16,0.0500,1153.79,18
17,0.0500,1232.08,20
18,0.0500,1311.15,22
19,0.0500,1391.00,28
20,0.0500,1471.62,32
21,0.0500,1553.05,34
22,0.0500,1635.27,38
23,0.0500,1718.30,41
24,0.0500,1802.14,42
25,0.0500,1886.81,43
26,0.0500,1972.31,45
27,0.0500,2058.65,50
28,0.0500,2145.84,54
29,0.0500,2233.88,54
30,0.0500,2322.79,56
0,0.0600,0.00,0
1,0.0600,67.26,0
2,0.0600,135.87,0
3,0.0600,205.85,0
4,0.0600,277.22,0
5,0.0600,350.02,0
6,0.0600,424.27,0
7,0.0600,500.00,0
8,0.0600,577.25,0
9,0.0600,656.03,2
10,0.0600,736.39,3
11,0.0600,818.35,6
12,0.0600,901.94,8
13,0.0600,987.20,12
14,0.0600,1074.15,15
15,0.0600,1162.84,20
16,0.0600,1253.29,25
17,0.0600,1345.54,29
18,0.0600,1439.63,32
19,0.0600,1535.59,36
20,0.0600,1633.45,43
21,0.0600,1733.26,47
22,0.0600,1835.06,50
23,0.0600,1938.87,52
24,0.0600,2044.75,54
25,0.0600,2152.73,61
26,0.0600,2262.85,62
27,0.0600,2375.16,66
28,0.0600,2489.69,68
29,0.0600,2606.50,74
30,0.0600,2725.61,82
