run_id,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784491336896,1513,41,51,17,39,2,23,1421,2,0.0000,1994,462688.39,1657.88
1784491337018,1516,27,52,15,25,2,25,1437,4,0.0000,1994,462688.39,1657.88
1784491337139,1528,39,57,23,37,2,28,1432,1,0.0225,1994,462688.39,1657.88
1784491337247,1510,31,55,17,28,3,31,1424,3,0.0000,1994,462688.39,1657.88
1784491337325,1511,36,52,18,35,1,27,1423,4,0.0112,1994,462688.39,1657.88
1784491337381,1502,35,55,15,32,3,28,1412,3,0.0112,1994,462688.39,1657.88
1784491337452,1505,36,47,18,35,1,28,1422,0,0.0000,1994,462688.39,1657.88
1784491337526,1515,34,48,21,34,0,38,1433,1,0.0112,1994,462688.39,1657.88
1784491337567,1537,36,49,18,34,2,28,1452,3,0.0000,1994,462688.39,1657.88
1784491337623,1498,34,52,14,32,2,24,1412,2,0.0225,1994,462688.39,1657.88
1784491337678,1522,26,56,14,24,2,30,1440,4,0.0000,1994,462688.39,1657.88
1784491337749,1515,50,50,20,47,3,32,1415,2,0.0225,1994,462688.39,1657.88
1784491337797,1503,39,62,24,38,1,32,1402,1,0.0112,1994,462688.39,1657.88
1784491337845,1524,25,61,11,25,0,18,1438,4,0.0000,1994,462688.39,1657.88
1784491337889,1516,24,48,10,24,0,21,1444,5,0.0000,1994,462688.39,1657.88
1784491337946,1505,37,43,18,33,5,31,1425,2,0.0337,1994,462688.39,1657.88
1784491337984,1507,33,51,14,31,2,21,1423,1,0.0112,1994,462688.39,1657.88
1784491338041,1514,37,67,12,35,2,22,1410,6,0.0337,1994,462688.39,1657.88
1784491338082,1523,36,58,19,33,3,27,1429,3,0.0112,1994,462688.39,1657.88
1784491338130,1519,34,53,12,30,4,22,1432,5,0.0225,1994,462688.39,1657.88
1784491361437,1521,37,54,13,33,4,25,1430,5,0.0000,1994,462688.39,1657.88
1784491361543,1521,38,74,19,33,5,30,1409,3,0.0112,1994,462688.39,1657.88
1784491361660,1519,36,56,14,32,4,26,1427,2,0.0337,1994,462688.39,1657.88
1784491361750,1514,39,58,18,39,0,26,1417,5,0.0337,1994,462688.39,1657.88
1784491361842,1514,38,58,17,37,1,26,1418,3,0.0112,1994,462688.39,1657.88
1784491361922,1511,36,39,20,31,5,31,1436,2,0.0225,1994,462688.39,1657.88
1784491362020,1507,43,49,21,41,2,31,1415,8,0.0337,1994,462688.39,1657.88
1784491362084,1521,42,56,19,39,3,33,1423,1,0.0000,1994,462688.39,1657.88
1784491362141,1508,26,45,11,23,3,20,1437,3,0.0112,1994,462688.39,1657.88
1784491362187,1510,35,51,16,32,3,25,1424,4,0.0225,1994,462688.39,1657.88
1784491362246,1514,36,66,20,36,0,31,1412,0,0.0000,1994,462688.39,1657.88
1784491362329,1527,35,55,20,34,1,26,1437,4,0.0225,1994,462688.39,1657.88
1784491362401,1513,32,56,18,32,0,25,1425,3,0.0000,1994,462688.39,1657.88
1784491362444,1513,29,53,14,28,1,26,1431,1,0.0112,1994,462688.39,1657.88
1784491362495,1514,42,54,22,40,2,32,1418,4,0.0112,1994,462688.39,1657.88
1784491362537,1505,27,50,11,27,0,20,1428,2,0.0000,1994,462688.39,1657.88
1784491362564,1518,41,59,17,40,1,27,1418,6,0.0000,1994,462688.39,1657.88
1784491362608,1515,48,59,25,45,4,37,1408,6,0.0337,1994,462688.39,1657.88
1784491362650,1504,39,52,17,34,5,36,1413,3,0.0000,1994,462688.39,1657.88
1784491362693,1510,43,52,19,41,2,27,1415,2,0.0225,1994,462688.39,1657.88
