day,pTransmit,flujoHospital,untreated
0,0.02,0.0,0
1,0.02,28.73,0
2,0.02,58.95,0
3,0.02,90.76,0
4,0.02,124.22,0
5,0.02,159.41,0
6,0.02,196.43,0
7,0.02,235.36,0
8,0.02,276.29,0
9,0.02,319.33,0
10,0.02,364.57,0
11,0.02,412.11,0
12,0.02,462.08,3
13,0.02,514.57,4
14,0.02,569.72,5
15,0.02,627.64,5
16,0.02,688.45,7
17,0.02,752.3,8
18,0.02,819.32,8
19,0.02,889.64,13
20,0.02,963.42,15
21,0.02,1040.8,17
22,0.02,1121.94,18
23,0.02,1207.0,18
24,0.02,1296.14,18
25,0.02,1389.53,18
26,0.02,1487.35,20
27,0.02,1589.76,23
28,0.02,1696.96,23
29,0.02,1809.11,25
30,0.02,1926.42,28
0,0.03,0.0,0
1,0.03,29.15,0
2,0.03,60.72,0
3,0.03,94.91,0
4,0.03,131.91,0
5,0.03,171.96,0
6,0.03,215.28,0
7,0.03,262.14,0
8,0.03,312.78,0
9,0.03,367.51,0
10,0.03,426.62,0
11,0.03,490.44,2
12,0.03,559.29,4
13,0.03,633.55,5
14,0.03,713.58,6
15,0.03,799.78,7
16,0.03,892.56,9
17,0.03,992.36,14
18,0.03,1099.62,17
19,0.03,1214.81,18
20,0.03,1338.39,18
21,0.03,1470.88,18
22,0.03,1612.75,22
23,0.03,1764.53,23
24,0.03,1926.72,25
25,0.03,2099.84,31
26,0.03,2284.41,32
27,0.03,2480.92,35
28,0.03,2689.88,39
29,0.03,2911.77,42
30,0.03,3147.03,44
0,0.04,0.0,0
1,0.04,29.58,0
2,0.04,62.56,0
3,0.04,99.3,0
4,0.04,140.21,0
5,0.04,185.75,0
6,0.04,236.39,0
7,0.04,292.66,0
8,0.04,355.15,0
9,0.04,424.48,0
10,0.04,501.31,0
11,0.04,586.36,4
12,0.04,680.4,5
13,0.04,784.24,6
14,0.04,898.75,8
15,0.04,1024.8,12
16,0.04,1163.34,16
17,0.04,1315.32,18
18,0.04,1481.71,18
19,0.04,1663.49,20
20,0.04,1861.63,23
21,0.04,2077.09,25
22,0.04,2310.77,31
23,0.04,2563.53,33
24,0.04,2836.16,39
25,0.04,3129.34,42
26,0.04,3443.66,47
27,0.04,3779.57,50
28,0.04,4137.39,54
29,0.04,4517.29,60
30,0.04,4919.26,65
0,0.05,0.0,0
1,0.05,30.02,0
2,0.05,64.46,0
3,0.05,103.94,0
4,0.05,149.16,0
5,0.05,200.88,0
6,0.05,259.99,0
7,0.05,327.43,0
8,0.05,404.27,0
9,0.05,491.65,0
10,0.05,590.84,2
11,0.05,703.18,5
12,0.05,830.11,6
13,0.05,973.12,8
14,0.05,1133.78,14
15,0.05,1313.68,18
16,0.05,1514.4,18
17,0.05,1737.49,20
18,0.05,1984.42,24
19,0.05,2256.52,29
20,0.05,2554.97,33
21,0.05,2880.72,39
22,0.05,3234.47,42
23,0.05,3616.62,49
24,0.05,4027.27,51
25,0.05,4466.18,57
26,0.05,4932.81,65
27,0.05,5426.3,68
28,0.05,5945.51,76
29,0.05,6489.06,80
30,0.05,7055.4,86
0,0.06,0.0,0
1,0.06,30.47,0
2,0.06,66.44,0
3,0.06,108.86,0
4,0.06,158.8,0
5,0.06,217.5,0
6,0.06,286.37,0
7,0.06,366.96,0
8,0.06,461.05,0
9,0.06,570.54,0
10,0.06,697.52,4
11,0.06,844.2,5
12,0.06,1012.9,7
13,0.06,1205.96,13
14,0.06,1425.71,18
15,0.06,1674.34,18
16,0.06,1953.86,23
17,0.06,2265.94,27
18,0.06,2611.87,32
19,0.06,2992.46,39
20,0.06,3407.97,43
21,0.06,3858.08,50
22,0.06,4341.94,54
23,0.06,4858.16,62
24,0.06,5404.88,66
25,0.06,5979.91,74
26,0.06,6580.76,80
27,0.06,7204.8,86
28,0.06,7849.32,95
29,0.06,8511.64,104
30,0.06,9189.18,112
